audio_file|text|speaker_name
wavs/ep001_0010.wav|لقد اساء تقدير قدرة إيران على الرد بشكل فادح.|spk0
wavs/ep001_0012.wav|سأشرح لكم في هذا السريد ما اعرفه أو توصلت اليه.|spk0
wavs/ep001_0014.wav|بشأن اربع ازمات كبرى تلوح في الافق حالية.|spk0
wavs/ep001_0016.wav|اعتقد ترامب أن إيران لن تغلق مضيق هورموس.|spk0
wavs/ep001_0027.wav|تستطيع إيران استهداف منشأة النفط في المنطقة.|spk0
wavs/ep001_0029.wav|لامتلاكها عددا هائلا من المسيرات الرخيصة المسلحة.|spk0
wavs/ep001_0031.wav|تندلع حَرب اقليمية اوسع نطاقا.|spk0
wavs/ep001_0032.wav|وثمّة بؤر توتر أخرى تكمن في الخفاء.|spk0
wavs/ep001_0043.wav|لم يكن الرؤساء الأمريكيّون السابقون اغبياء.|spk0
wavs/ep001_0048.wav|هذا هو السبيل الوحيد لتفادي كارثة أكبر.|spk0
wavs/ep001_0050.wav|وده برايي هو افضل مقدمة لموضوع حلقة النهاردة.|spk0
wavs/ep001_0053.wav|ورطت نفسها وورطت المنطقة والعالم كله.|spk0
wavs/ep001_0056.wav|روبرت بيب في مقال نشره قبل ايام على فرنفيرز.|spk0
wavs/ep001_0057.wav|أمريكا واسرائيل ورطوا نفسهم في مشكلة تفوق قدراتهم.|spk0
wavs/ep001_0058.wav|رغم نجاحهم في تدمير واستهداف آلاف الاهداف في إيران.|spk0
wavs/ep001_0059.wav|حجم الدمار اللي تسببوا فيه لايران هائل وغير مسبوق.|spk0
wavs/ep001_0060.wav|ورغم كده تظل مشكلة مضيق هورموس أكبر من قدرة الأمريكيّين والاسرائيليين مع بعض.|spk0
wavs/ep001_0064.wav|أكبر اضطراب في الامدادات في تاريخ سوق النفط العالمي.|spk0
wavs/ep001_0065.wav|ده هو وصف وكالة الطاقة الدولية للازمة الحالية في سوق النفط.|spk0
wavs/ep001_0067.wav|واللي في اطارها لجات طهران ليغلق مضيق هورموس.|spk0
wavs/ep001_0069.wav|وعادل تقريبا خمس الاستهلاك العالمي من النفط.|spk0
wavs/ep001_0070.wav|وده في نفس الوقت اللي اضطرت فيه عَدَد من منشآت الطاقة في المنطقة.|spk0
wavs/ep001_0072.wav|أمّا بسبب امتلاق الخزنات بعد قفل المضيق.|spk0
wavs/ep001_0074.wav|باختصار اللي بيحصل حاليا في سوق النفط العالمي غير مسبوق.|spk0
wavs/ep001_0076.wav|لا يقارنوا باي شَكل بالازمة الحالية.|spk0
wavs/ep001_0077.wav|اللي هي اعنف واخطر واوسع نطاقا بكتير.|spk0
wavs/ep001_0078.wav|يعني على سبيل المثال في ازمة حظر النفط اللي اندلعت سنة 1973.|spk0
wavs/ep001_0079.wav|اثر قرار عَدَد من الدول العربية بقيادة المملكة العربية السعودية.|spk0
wavs/ep001_0080.wav|حظر تصدير النفط للدول الداعمة لاسرائيل وعلى راسها الولايات المتحدة.|spk0
wavs/ep001_0081.wav|كمية النفط المحزورة وقتها كانت بتشكل 7 فقط من الاستهلاك العالمي للنفط.|spk0
wavs/ep001_0082.wav|في ازمة النهاردة بنتكلم على 20 مرة واحدة.|spk0
wavs/ep001_0083.wav|المهم في ظل الظروف دي اتجهت الانظار تجاه الولايات المتحدة ورئيسها دونالد ترامب.|spk0
wavs/ep001_0084.wav|باعتباره هو اللي ورط العالم الورطة السودة دي.|spk0
wavs/ep001_0088.wav|لسان حال العالم كله وببساطة اللي شبكنا يخلصنا.|spk0
wavs/ep001_0090.wav|وتحديدا في 12 مارس ترامب كتب منشور على حسابه على تبوستوشال.|spk0
wavs/ep001_0091.wav|قال فيه الولايات المتحدة هي أكبر منتج للنفط في العالم بفارق شاسع.|spk0
wavs/ep001_0092.wav|لذا عندما ترتفع اسعار النفط نجني ارباحا طائلة.|spk0
wavs/ep001_0093.wav|لكن الاهم بالنسبة لي كرئيس هو منع إيران تلك الامبراطورية الشريرة.|spk0
wavs/ep001_0094.wav|من امتلاك اسلاح نووية وتدمير الشرق الاوسط.|spk0
wavs/ep001_0095.wav|بل والعالم اجمع لن اسمح بحدوث ذلك ابدا.|spk0
wavs/ep001_0098.wav|ترجمة المنشور ده بالبلدي انا محتاس مش عارف اعمل ايه.|spk0
wavs/ep001_0100.wav|ببساطة التغريدة دي سبقها محاولات امريكية مختلفة للسيطرة على ازمة الطاقة.|spk0
wavs/ep001_0101.wav|النتيجة عن اغلاق مضيق هورموس كلها بلا استثناء فشلت.|spk0
wavs/ep001_0103.wav|عشان يطمن الاسواق ومرورا بالكلام حوالين مرافقة البحرية الأمريكيّة للسفن المرة في المضيق.|spk0
wavs/ep001_0104.wav|وانتهاءا بالقرار اللي اتخذته ادارته يوم 11 مارس.|spk0
wavs/ep001_0105.wav|بالافراج عن 172 مليون برميل من احتياط البترول الاستراتيجي الأمريكي.|spk0
wavs/ep001_0107.wav|تم تحت مظلة قرار اوسع من قبل وكالة الطاقة الدولية.|spk0
wavs/ep001_0108.wav|الاجماع على الافراج عن 400 مليون برميل من احتياطياتهم الاستراتيجية.|spk0
wavs/ep001_0109.wav|وضخها في السوق في محاولة للسيطرة على تداعيات ازمة مضيق هورموس.|spk0
wavs/ep001_0111.wav|دي بالمناسبة تعتبر أكبر عملية افراج عن الاحتياطيات في تاريخ الوكالة.|spk0
wavs/ep001_0112.wav|ولكن الكمية غير المسبوقة دي المقرر ضخها في السوق خلال الفترة القادمة.|spk0
wavs/ep001_0116.wav|الكمية المقرر الافراج عنها رغم ضخامتها.|spk0
wavs/ep001_0117.wav|الا أنّها تظل ضئيلة بالمقارنة مع حجم الكميات المفقودة من النفط.|spk0
wavs/ep001_0119.wav|وخلونا ناخد الكمية اللي الأمريكيّين ناويين يفرجوا عنها كمثال.|spk0
wavs/ep001_0120.wav|نظريا الحكومة الأمريكيّة تقدر تسحب 4.4 مليون برميل من النفط يوميا من الاحتياطيات الاستراتيجية.|spk0
